Vorname Original;Original haeufige Schreibweise;Anzahl 1984-2018;Rang 1984-2018;Anzahl 2018;Rang 2018
Bertina;Bertina;4;4969;-;-
Bertinaros;Bertinaros;1;10439;-;-
Bervin;Bervin;3;5829;1;1923
Bery;Bery;1;10439;-;-
Beryl;Beril;2;7246;-;-
Besa;Besa;6;3964;1;1923
Besan;Besan;4;4969;1;1923
Besara;Besara;3;5829;-;-
Besarta;Besarta;5;4385;1;1923
Besent;Besent;1;10439;-;-
Beser;Beser;1;10439;-;-
Besey;Besey;1;10439;-;-
Besiana;Besiana;1;10439;-;-
Besijana;Besijana;1;10439;-;-
Besima;Besima;2;7246;-;-
Besime;Besime;7;3644;-;-
Besjana;Besjana;7;3644;-;-
Beslinda;Beslinda;1;10439;-;-
Besma;Besma;1;10439;-;-
Besme;Besme;1;10439;-;-
Besmira;Besmira;4;4969;-;-
Besmire;Besmire;1;10439;-;-
Besna-Ela;Besna-Ela;1;10439;-;-
Besra;Besra;4;4969;-;-
Bess;Bess;1;10439;-;-
Bessan;Bessan;1;10439;1;1923
Bessy;Bessy;1;10439;-;-
Beste;Beste;8;3378;-;-
Bethany;Bethany;7;3644;1;1923
Bethany-Elisha;Bethany-Elisha;1;10439;1;1923
Bethel;Bethel;4;4969;-;-
Beti-Alexandra;Beti-Alexandra;1;10439;1;1923
Betina;Bettina;61;1014;-;-
Betja;Betja;1;10439;-;-
Betrina;Betrina;1;10439;-;-
Betti;Betty;1;10439;-;-
Bettina;Bettina;6338;57;1;1923
Bettina-Brigitte;Bettina-Brigitte;1;10439;-;-
Bettina-Catiana;Bettina-Catiana;1;10439;-;-
Bettina-Corina;Bettina-Corina;1;10439;-;-
Bettina-Elisabeth;Bettina-Elisabeth;2;7246;-;-
Bettina-Ingrid;Bettina-Ingrid;1;10439;-;-
Bettina-Maria;Bettina-Maria;3;5829;-;-
Bettina-Marie;Bettina-Marie;1;10439;-;-
Bettina-Réka;Bettina-Réka;1;10439;-;-
Bettina-Saskia;Bettina-Saskia;1;10439;-;-
Bettina-Sophia;Bettina-Sophia;1;10439;-;-
Bettina-Ulrike;Bettina-Ulrike;1;10439;-;-
Betty;Betty;12;2676;-;-
Betuela;Betuela;1;10439;-;-
Betul;Betul;3;5829;-;-
Betül;Betül;244;447;8;562
Betülela;Betülela;1;10439;1;1923
Betül-Meryem;Betül-Meryem;1;10439;-;-
Bety;Bety;1;10439;-;-
Beverley;Beverly;3;5829;-;-
Beverly;Beverly;22;1870;1;1923
Beverly-Alyssa;Beverly-Alyssa;1;10439;-;-
Bevin;Bevin;3;5829;-;-
Beya;Beya;2;7246;-;-
Beyaz;Beyaz;3;5829;-;-
Beyda;Beyda;15;2352;-;-
Beyen;Beyen;1;10439;-;-
Beyhan;Beyhan;2;7246;-;-
Beylem;Beylem;1;10439;-;-
Beyonce;Beyonce;3;5829;1;1923
Beyoncé;Beyonce;1;10439;-;-
Beytiye;Beytiye;1;10439;-;-
Beytula;Beytula;1;10439;-;-
Beyza;Beyza;430;321;13;383
Beyza-Cemile;Beyza-Cemile;1;10439;-;-
Beyzagül;Beyzagül;1;10439;-;-
Beyzanaz;Beyzanaz;1;10439;-;-
Beyza-Naz;Beyza-Naz;1;10439;-;-
Beyzanur;Beyzanur;71;932;1;1923
Beyza-Nur;Beyza-Nur;2;7246;1;1923
Bhakti;Bhakti;1;10439;-;-
Bhar;Bhar;1;10439;-;-
Bharh;Bharh;1;10439;-;-
Bhavani;Bhavani;2;7246;-;-
Bhavi;Bhavi;1;10439;-;-
Bhavika;Bhavika;1;10439;-;-
Bhavleen;Bhavleen;1;10439;-;-
Bhavna;Bhavna;1;10439;1;1923
Bhavya;Bhavya;1;10439;-;-
Bhumi;Bhumi;1;10439;-;-
Bhuttathida;Bhuttathida;1;10439;-;-
Bhuvanasri;Bhuvanasri;1;10439;-;-
Bia;Bia;2;7246;-;-
Bian;Bian;1;10439;-;-
Bianca;Bianca;8485;36;26;226
Bianca-Alexandra;Bianca-Alexandra;1;10439;-;-
Bianca-Anna;Bianca-Anna;1;10439;-;-
Bianca-Anna-Marina;Bianca-Anna-Marina;1;10439;-;-
Bianca-Antonia;Bianca-Antonia;1;10439;-;-
Bianca-Appolonia;Bianca-Appolonia;1;10439;-;-
Bianca-Carina;Bianca-Carina;1;10439;-;-
Bianca-Christiane;Bianca-Christiane;1;10439;-;-
Bianca-Christina;Bianca-Christina;1;10439;-;-
Bianca-Elena;Bianca-Elena;1;10439;-;-
Bianca-Elisabeth;Bianca-Elisabeth;1;10439;-;-
Bianca-Florentina;Bianca-Florentina;1;10439;-;-
Bianca-Franziska;Bianca-Franziska;1;10439;-;-
Bianca-Jasmin;Bianca-Jasmin;3;5829;-;-
Bianca-Jessica;Bianca-Jessica;1;10439;-;-
Bianca-Joyce;Bianca-Joyce;1;10439;-;-
Bianca-Katharina;Bianca-Katharina;2;7246;-;-
Bianca-Leonie;Bianca-Leonie;1;10439;-;-
Bianca-Luisa;Bianca-Luisa;1;10439;-;-
Biancamaria;Bianca-Maria;1;10439;-;-
Bianca-Maria;Bianca-Maria;28;1641;1;1923
Bianca-Marie;Bianca-Marie;1;10439;-;-
Bianca-Melissa;Bianca-Melissa;1;10439;-;-
Bianca-Nadine;Bianca-Nadine;1;10439;-;-
Bianca-Nicole;Bianca-Nicole;2;7246;-;-
Bianca-Rafaela;Bianca-Rafaela;1;10439;-;-
Bianca-Sabrina;Bianca-Sabrina;2;7246;-;-
Bianca-Sophie;Bianca-Sophie;1;10439;-;-
Bianka;Bianca;167;557;7;599
Bianka-Marie;Bianka-Marie;1;10439;-;-
Bianna;Bianna;1;10439;-;-
Bibha;Bibha;1;10439;-;-
Bibi;Bibi;10;2981;-;-
Bibiana;Bibiana;66;971;-;-
Bibiana-Sina;Bibiana-Sina;1;10439;-;-
Bibiane;Bibiana;57;1071;2;1339
Bibiane-Jacqueline;Bibiane-Jacqueline;1;10439;-;-
Bibisara;Bibisara;1;10439;-;-
Biborka;Biborka;4;4969;-;-
Bíborka;Biborka;3;5829;-;-
Bice;Bice;1;10439;-;-
Bich-Tram;Bich-Tram;1;10439;-;-
Bienna-Ressa;Bienna-Ressa;1;10439;-;-
Biesan;Biesan;2;7246;-;-
Bieta;Bieta;1;10439;-;-
Bigna;Bigna;1;10439;-;-
Bih;Bih;1;10439;-;-
Bihter;Bihter;2;7246;-;-
Bijanka;Bianca;1;10439;-;-
Bilge;Bilge;34;1469;2;1339
Bilgehan;Bilgehan;1;10439;1;1923
Bilgeheda;Bilgeheda;1;10439;-;-
Bilgem;Bilgem;1;10439;-;-
Bilgenur;Bilgenur;1;10439;-;-
Biljana;Biljana;19;2046;1;1923
Bilkis;Bilkis;1;10439;-;-
Billie;Billie;8;3378;-;-
Billie-Ada;Billie-Ada;1;10439;-;-
Billur;Billur;1;10439;-;-
Bilqeesha;Belkisa;1;10439;-;-
Bina;Bina;5;4385;1;1923
Binas;Binas;1;10439;-;-
Binasa;Binasa;1;10439;-;-
Binderya;Binderya;1;10439;-;-
Bindi;Bindi;3;5829;-;-
Bingül;Bingül;1;10439;-;-
Binia;Binia;2;7246;-;-
Binia-Maria;Binia-Maria;1;10439;-;-
Binnaz;Binnaz;3;5829;-;-
Binnur;Binnur;5;4385;-;-
Binta;Binta;4;4969;-;-
Binte;Binte;1;10439;1;1923
Bintou;Bintou;2;7246;1;1923
Bionda;Bionda;5;4385;-;-
Bionda-Carmen;Bionda-Carmen;1;10439;-;-
Biondina;Biondina;1;10439;-;-
Bircan;Bircan;1;10439;-;-
Birce;Birce;1;10439;-;-
Birgit;Birgit;4349;77;1;1923
Birgita;Birgit;1;10439;-;-
Birgit-Brigitte;Birgit-Brigitte;1;10439;-;-
Birgith;Birgit;1;10439;-;-
Birgitt;Birgit;16;2267;-;-
Birgitta;Birgit;5;4385;-;-
Birgül;Birgül;8;3378;-;-
Biricik;Biricik;1;10439;-;-
Birka;Birka;1;10439;-;-
Birke;Birke;1;10439;-;-
Birlant;Birlant;1;10439;-;-
Birnaz;Birnaz;1;10439;-;-
Birnur;Birnur;1;10439;-;-
Birsel;Birsel;2;7246;-;-
Birsen;Birsen;4;4969;-;-
Birsu;Birsu;1;10439;-;-
Birte;Birte;2;7246;-;-
Bisa;Bisa;1;10439;-;-
Bisan;Bisan;5;4385;-;-
Bisenija;Bisenija;1;10439;-;-
Bisera;Bisera;3;5829;-;-
Biserka;Biserka;2;7246;-;-
Biserka-Sonja;Biserka-Sonja;1;10439;-;-
Bismah;Bismah;2;7246;-;-
Bismi;Bismi;1;10439;-;-
Bissan;Bissan;1;10439;1;1923
Bisso;Bisso;1;10439;-;-
Bita;Bita;11;2831;1;1923
Bitania;Bitania;1;10439;-;-
Bithja;Bithja;3;5829;-;-
Bitta;Bitta;1;10439;-;-
Bituin;Bituin;1;10439;-;-
Bjeshka;Bjeshka;1;10439;-;-
Björk;Björk;1;10439;-;-
Blagovesta;Blagovesta;1;10439;-;-
Blakely;Blakely;1;10439;-;-
Blanca;Blanka;18;2116;1;1923
Blanca-Marie;Blanca-Marie;1;10439;-;-
Blanche;Blanche;2;7246;-;-
Blandina;Blandina;2;7246;-;-
Blanka;Blanka;31;1551;5;755
Blanki;Blanki;1;10439;-;-
Blaženka;Blaženka;1;10439;-;-
Bleanda;Bleanda;1;10439;-;-
Blearda;Blearda;1;10439;-;-
Blearta;Blearta;5;4385;-;-
Blediona;Blediona;1;10439;-;-
Blella;Blella;1;10439;-;-
Blen;Blen;2;7246;-;-
Blenda;Blenda;3;5829;1;1923
Blendina;Blendina;1;10439;-;-
Blendona;Blendona;1;10439;-;-
Blenera;Blenera;1;10439;-;-
Bleneta;Bleneta;1;10439;-;-
Bleona;Bleona;28;1641;1;1923
Bleranda;Bleranda;2;7246;-;-
Bleriana;Bleriana;1;10439;-;-
Blerina;Blerina;18;2116;-;-
Blerinda;Blerinda;1;10439;-;-
Blerisa;Blerisa;1;10439;-;-
Blerona;Blerona;15;2352;1;1923
Blerontina;Blerontina;1;10439;-;-
Blerta;Blerta;11;2831;-;-
Blertina;Blertina;1;10439;-;-
Blertona;Blertona;1;10439;-;-
Blessed;Blessed;2;7246;-;-
Blessing;Blessing;19;2046;-;-
Blessy;Blessy;1;10439;-;-
Bleta;Bleta;3;5829;1;1923
Blia;Blia;1;10439;-;-
Blimi;Blimi;1;10439;-;-
Blimy;Blimy;4;4969;1;1923
Blina;Blina;9;3164;1;1923
Blinera;Blinera;10;2981;-;-
Blossom;Blossom;1;10439;-;-
Blue;Blue;1;10439;1;1923
Bluma;Bluma;3;5829;1;1923
Bo;Bo;1;10439;-;-
Bobbi;Bobbi;1;10439;-;-
Bodhi;Bodhi;1;10439;-;-
Bodza;Bodza;1;10439;-;-
Bogdana;Bogdana;2;7246;1;1923
Bogi;Bogi;1;10439;-;-
Boglarka;Boglárka;3;5829;-;-
Boglárka;Boglárka;14;2464;1;1923
Boglârka;Boglárka;1;10439;-;-
Bogoslava;Bogoslava;1;10439;-;-
Bo-Haylie;Bo-Haylie;1;10439;-;-
Bojana;Bojana;33;1498;-;-
Bojána;Bojana;1;10439;-;-
Bolanle;Bolanle;1;10439;-;-
Bolin;Bolin;1;10439;1;1923
Bolor;Bolor;2;7246;-;-
Bolorsanaa;Bolorsanaa;1;10439;-;-
Boluwatife;Boluwatife;2;7246;-;-
Bonamie;Bonamie;1;10439;-;-
Boncuk;Boncuk;1;10439;1;1923
Bonita;Bonita;8;3378;-;-
Bonnie;Bonnie;12;2676;-;-
Bonnie-Anne;Bonnie-Anne;1;10439;-;-
Bora;Bora;16;2267;3;1029
Borbála;Borbála;3;5829;2;1339
Bore;Bore;1;10439;-;-
Bori;Bori;1;10439;-;-
Boriga;Boriga;1;10439;-;-
Borika;Borika;1;10439;-;-
Borjana;Borjana;2;7246;-;-
Borka;Borka;2;7246;-;-
Boróka;Boróka;1;10439;1;1923
Boróka-Felizitas;Boróka-Felizitas;1;10439;-;-
Börteçine;Börteçine;1;10439;-;-
Boryana;Boryana;1;10439;-;-
Boscha;Boscha;2;7246;-;-
Boschra;Boschra;1;10439;-;-
Boshra;Boshra;3;5829;-;-
Bosiljka;Bosiljka;1;10439;-;-
Bossantach;Bossantach;1;10439;-;-
Bothaina;Bothaina;1;10439;-;-
Bothayna;Bothayna;1;10439;-;-
Boudicca;Boudicca;1;10439;-;-
Bousso;Bousso;1;10439;-;-
Boya;Boya;1;10439;-;-
Bozana;Bozana;1;10439;-;-
Božana;Bozana;1;10439;-;-
Bozhidara;Bozhidara;2;7246;-;-
Bozica;Božica;1;10439;-;-
Božica;Božica;2;7246;-;-
Bracha;Bracha;3;5829;-;-
Branca;Branka;1;10439;-;-
Branda;Branda;1;10439;-;-
Branka;Branka;14;2464;-;-
Brankica;Brankica;3;5829;-;-
Brasilia;Brasilia;1;10439;-;-
Breana;Breana;1;10439;-;-
Brechna;Brechna;1;10439;-;-
Breda;Breda;1;10439;-;-
Brenda;Brenda;21;1920;2;1339
Brendana;Brendana;1;10439;-;-
Breschna;Breschna;2;7246;-;-
Bretagne;Bretagne;1;10439;-;-
Briana;Briana;17;2184;1;1923
Briana-Anastasia;Briana-Anastasia;1;10439;-;-
Briana-Denisa;Briana-Denisa;1;10439;-;-
Briana-Gabriela;Briana-Gabriela;1;10439;-;-
Briana-Maria;Briana-Maria;1;10439;-;-
Briana-Nicole;Briana-Nicole;1;10439;-;-
Brianna;Brianna;10;2981;1;1923
Brianna-Nicole;Brianna-Nicole;1;10439;-;-
Bricious;Bricious;1;10439;-;-
Bridget;Bridget;6;3964;-;-
Briella;Briella;1;10439;-;-
Brielle;Brielle;1;10439;1;1923
Brienne;Brienne;1;10439;-;-
Brigida;Brigida;1;10439;-;-
Brigit;Brigit;3;5829;-;-
Brigita;Brigita;1;10439;-;-
Brigitta;Birgit;67;960;-;-
Brigitta-Siri;Brigitta-Siri;1;10439;-;-
Brigitte;Birgit;691;248;0;0
Brigitte-Fatos;Brigitte-Fatos;1;10439;-;-
Brigitte-Maria;Brigitte-Maria;2;7246;-;-
Brihanabless;Brihanabless;1;10439;-;-
Brikena;Brikena;3;5829;-;-
Brina;Brina;4;4969;-;-
Brinja;Brinja;1;10439;-;-
Briony;Briony;1;10439;-;-
Briseis;Briseis;1;10439;-;-
Brit;Britta;1;10439;-;-
Brita;Britta;8;3378;-;-
Brita-Marie;Brita-Marie;1;10439;-;-
Britney;Britney;3;5829;1;1923
Britt;Britta;5;4385;-;-
Britta;Britta;141;622;0;0
Britta-Maria;Britta-Maria;2;7246;-;-
Britta-Nicole;Britta-Nicole;1;10439;-;-
Brittany;Brittany;3;5829;-;-
Britti;Britti;1;10439;-;-
Brittney;Brittney;1;10439;-;-
Brittny;Brittny;1;10439;-;-
Britton;Britton;1;10439;-;-
Briyanna;Briyanna;1;10439;-;-
Bronisława;Bronisława;1;10439;-;-
Bronja;Bronja;1;10439;-;-
Bronwin;Bronwin;1;10439;-;-
Brooke;Brooke;1;10439;-;-
Brooklyn;Brooklyn;1;10439;-;-
Bruna;Bruna;5;4385;2;1339
Brunhild;Brunhild;1;10439;-;-
Brunhilde;Brunhilde;3;5829;-;-
Bryana;Bryana;2;7246;-;-
Bryanna;Bryanna;1;10439;-;-
Bryce;Bryce;1;10439;-;-
Bryna-Marie;Bryna-Marie;1;10439;-;-
Bryndis;Bryndis;1;10439;-;-
Bryony;Bryony;1;10439;-;-
Brystel;Brystel;1;10439;-;-
Buba;Buba;1;10439;-;-
Buce;Buce;2;7246;-;-
Budur;Budur;2;7246;-;-
Buğlam;Buğlam;1;10439;-;-
Buglem;Buğlem;12;2676;2;1339
Buǧlem;Buğlem;1;10439;-;-
Buğlem;Buğlem;32;1529;3;1029
Buḡlem;Buğlem;2;7246;1;1923
Büglem;Büglem;1;10439;-;-
Buglem-Meyra;Buglem-Meyra;1;10439;-;-
Buğlem-Tuana;Buğlem-Tuana;1;10439;1;1923
Buğra;Buğra;2;7246;-;-
Buhar;Buhar;1;10439;1;1923
Buket;Buket;34;1469;-;-
Bukola;Bukola;1;10439;-;-
Bulem;Bulem;1;10439;-;-
Buna;Buna;11;2831;2;1339
Bunmi;Bunmi;1;10439;-;-
Büșra;Büşra;4;4969;1;1923
Burbuge;Burbuge;1;10439;-;-
Burçak;Burçak;1;10439;-;-
Burçe;Burçe;1;10439;-;-
Burcin;Burçin;8;3378;-;-
Burçin;Burçin;10;2981;-;-
Burcu;Burcu;54;1107;2;1339
Burdah;Burdah;1;10439;-;-
Buresa;Buresa;1;10439;-;-
Burga;Burga;1;10439;-;-
Burghild;Burghild;1;10439;-;-
Burghilde;Burghilde;1;10439;-;-
Burgi;Burgi;2;7246;-;-
Burlijat;Burlijat;1;10439;-;-
Burniece;Burniece;1;10439;-;-
Büřra;Büřra;1;10439;-;-
Bürsa;Bürsa;1;10439;-;-
Bürşa;Bürsa;1;10439;-;-
Bürsa-Nur;Bürsa-Nur;1;10439;-;-
Burte;Burte;1;10439;-;-
Búrúnice;Búrúnice;2;7246;-;-
Buschra;Buschra;2;7246;-;-
Buse;Buse;30;1575;-;-
Busegül;Busegül;1;10439;-;-
Busejna;Busejna;2;7246;-;-
Busenaz;Busenaz;5;4385;-;-
Busenur;Busenur;2;7246;-;-
Bushra;Bushra;9;3164;1;1923
Busra;Busra;4;4969;-;-
Búsra;Busra;1;10439;-;-
Büsra;Büşra;101;766;1;1923
Büšra;Büşra;1;10439;-;-
Büşra;Büşra;137;635;5;755
Büsranur;Büsranur;2;7246;-;-
Büşranur;Büsranur;1;10439;-;-
Büşra-Nur;Büşra-Nur;1;10439;-;-
Büsra-Sema;Büsra-Sema;1;10439;-;-
Büşra-Zeynep;Büşra-Zeynep;1;10439;-;-
Büžsra;Büşra;5;4385;-;-
Byla;Byla;1;10439;-;-
Cabiv;Cabiv;1;10439;-;-
Cäcilia;Cecilia;145;615;10;483
Cäcilie;Cecilia;1;10439;-;-
Cäcillia;Cecilia;1;10439;-;-
Cadance;Cadance;1;10439;-;-
Cadine;Cadine;1;10439;-;-
Cadis;Cadis;1;10439;-;-
Cadischa;Cadischa;1;10439;-;-
Cady;Cady;1;10439;-;-
Cady-Sophie;Cady-Sophie;1;10439;-;-
Caecilia;Caecilia;7;3644;-;-
Caecilie;Caecilie;2;7246;-;-
Caelyn;Caelyn;1;10439;-;-
Cagla;Cagla;15;2352;-;-
Cağla;Cagla;2;7246;-;-
Çagla;Cagla;3;5829;-;-
Çağla;Cagla;10;2981;-;-
Çağla-Burcu;Çağla-Burcu;1;10439;-;-
Çağla-Gül;Çağla-Gül;1;10439;-;-
Čaglayan;Čaglayan;1;10439;-;-
Çağnur;Çağnur;1;10439;-;-
Cahterine;Katharina;1;10439;-;-
Caia;Caia;1;10439;-;-
Caidence;Caidence;1;10439;-;-
Cailey;Cailey;2;7246;1;1923
Cailin;Cailin;3;5829;-;-
Cailyn;Cailyn;2;7246;-;-
Caisy;Caisy;2;7246;-;-
Caithleen-Alessa;Caithleen-Alessa;1;10439;-;-
Caithlyn;Katharina;1;10439;-;-
Caithlynn;Caithlynn;1;10439;-;-
Caitleen;Katharina;2;7246;-;-
Caitlièn;Katharina;1;10439;-;-
Caitlin;Katharina;26;1711;-;-
Caitlyn;Katharina;24;1791;1;1923
Caitlynn;Katharina;2;7246;-;-
Caja;Caja;9;3164;-;-
Cala;Cala;1;10439;-;-
Calantha;Calantha;1;10439;-;-
Calea;Calea;5;4385;1;1923
Calena;Calena;1;10439;-;-
Calida;Calida;1;10439;-;-
Calijn;Calijn;1;10439;-;-
Calina;Calina;7;3644;1;1923
Caline;Caline;1;10439;-;-
Calipso;Calipso;1;10439;1;1923
Calista;Calista;5;4385;-;-
Calla;Calla;2;7246;-;-
Calliandra;Calliandra;1;10439;-;-
Callie;Callie;1;10439;-;-
Calliope;Calliope;4;4969;-;-
Callista;Callista;3;5829;-;-
Callisto;Callisto;3;5829;-;-
Cally-Sue;Cally-Sue;1;10439;-;-
Calotta;Calotta;1;10439;1;1923
Calu;Calu;1;10439;1;1923
Calypso;Calypso;2;7246;-;-
Camâelia;Camâelia;1;10439;-;-
Camala;Camala;1;10439;-;-
Camelia;Camelia;5;4385;-;-
Camélia;Camelia;1;10439;-;-
Camelia-Abigail;Camelia-Abigail;1;10439;1;1923
Camelia-Maria;Camelia-Maria;1;10439;-;-
Cameo;Cameo;1;10439;-;-
Cameron;Cameron;6;3964;1;1923
Cami;Cami;1;10439;-;-
Camie;Camie;1;10439;-;-
Camila;Camilla;26;1711;5;755
Camila-Elsa;Camila-Elsa;1;10439;-;-
Camilia;Camilia;3;5829;1;1923
Camilla;Camilla;277;413;9;520
Camilla-Maria;Camilla-Maria;1;10439;-;-
Camilla-Stefania;Camilla-Stefania;1;10439;-;-
Camilla-Wema;Camilla-Wema;1;10439;-;-
Camille;Camilla;26;1711;-;-
Camille-Marie;Camille-Marie;1;10439;-;-
Camira;Camira;1;10439;-;-
Can;Can;1;10439;-;-
Cana;Cana;1;10439;-;-
Canan;Canan;29;1609;1;1923
Cânân;Canan;2;7246;-;-
Candan;Candan;2;7246;-;-
Candea;Candea;1;10439;-;-
Candela;Candela;5;4385;-;-
Candelaria;Candelaria;1;10439;-;-
Candia;Candia;2;7246;-;-
Candice;Candice;4;4969;-;-
Candice-Michelle;Candice-Michelle;1;10439;-;-
Candida;Candida;3;5829;-;-
Candra;Candra;1;10439;-;-
Candy;Candy;6;3964;-;-
Canel;Canel;3;5829;-;-
Canfeza;Canfeza;1;10439;-;-
Canfinaz;Canfinaz;1;10439;-;-
Cangül;Cangül;3;5829;-;-
Canice;Canice;1;10439;-;-
Čanija;Čanija;1;10439;-;-
Canisi;Canisi;1;10439;-;-
Cannia;Cannia;1;10439;-;-
Cansel;Cansel;9;3164;-;-
Cansen;Cansen;1;10439;-;-
Cansever;Cansever;1;10439;-;-
Cansin;Cansin;1;10439;-;-
Cansın;Cansin;1;10439;-;-
Cansu;Cansu;128;667;7;599
Cansun;Cansun;1;10439;-;-
Cantique;Cantique;1;10439;1;1923
Cantuaria;Cantuaria;1;10439;1;1923
Caprice;Caprice;14;2464;-;-
Cara;Cara;174;541;10;483
Cara-Alessandra;Cara-Alessandra;1;10439;-;-
Cara-Anna;Cara-Anna;1;10439;-;-
Cara-Lisa;Cara-Lisa;1;10439;-;-
Cara-Maria;Cara-Maria;1;10439;-;-
Cara-Mina;Cara-Mina;1;10439;-;-
Cara-Patrizia;Cara-Patrizia;1;10439;-;-
Cara-Sophia;Cara-Sophia;1;10439;-;-
Cara-Sophie;Cara-Sophie;1;10439;-;-
Cara-Viola;Cara-Viola;1;10439;-;-
Cardina;Cardina;4;4969;-;-
Care;Care;1;10439;-;-
Carel;Carel;1;10439;-;-
Caren;Karin;6;3964;-;-
Carena;Karin;2;7246;-;-
Caren-Maria;Caren-Maria;1;10439;-;-
Caresse;Caresse;1;10439;-;-
Caribelle;Caribelle;1;10439;-;-
Carice;Carice;2;7246;-;-
Caricia;Caricia;1;10439;-;-
Caridad;Caridad;1;10439;-;-
Carima;Karima;1;10439;-;-
Carin;Karin;11;2831;-;-
Carina;Carina;9553;27;40;160
Carina-Anna;Carina-Anna;2;7246;-;-
Carina-Barbara;Carina-Barbara;1;10439;-;-
Carina-Bianca;Carina-Bianca;4;4969;-;-
Carina-Denise;Carina-Denise;1;10439;-;-
Carina-Desiree;Carina-Desiree;1;10439;-;-
Carina-Elisabeth;Carina-Elisabeth;2;7246;-;-
Carina-Eva;Carina-Eva;1;10439;-;-
Carina-Isabella;Carina-Isabella;1;10439;-;-
Carina-Jennifer;Carina-Jennifer;1;10439;-;-
Carina-Kerstin;Carina-Kerstin;1;10439;-;-
Carina-Magdalena;Carina-Magdalena;1;10439;-;-
Carina-Margit;Carina-Margit;1;10439;-;-
Carina-Maria;Carina-Maria;12;2676;1;1923
Carina-Michaela;Carina-Michaela;1;10439;-;-
Carina-Michelle;Carina-Michelle;1;10439;-;-
Carina-Mihaela;Carina-Mihaela;1;10439;-;-
Carina-Monika;Carina-Monika;1;10439;-;-
Carina-Nicole;Carina-Nicole;1;10439;-;-
Carina-Nurunnisa;Carina-Nurunnisa;1;10439;-;-
Carina-Paloma;Carina-Paloma;1;10439;-;-
Carina-Patricia;Carina-Patricia;1;10439;-;-
Carina-Petrissa;Carina-Petrissa;1;10439;-;-
Carina-Roxana;Carina-Roxana;1;10439;-;-
Carina-Sara;Carina-Sara;1;10439;-;-
Carina-Saskia;Carina-Saskia;1;10439;-;-
Carina-Simone;Carina-Simone;1;10439;-;-
Carina-Sophie;Carina-Sophie;5;4385;-;-
Carina-Susanna;Carina-Susanna;1;10439;-;-
Carina-Theresa;Carina-Theresa;1;10439;-;-
Carina-Vanessa;Carina-Vanessa;1;10439;-;-
Carina-Yvonne;Carina-Yvonne;1;10439;-;-
Carine;Carina;5;4385;-;-
Carinna;Carinna;18;2116;-;-
Carinna-Helene;Carinna-Helene;1;10439;-;-
Cariola;Cariola;1;10439;-;-
Carisa;Carisa;1;10439;-;-
Carisma;Carisma;1;10439;-;-
Carissa;Carissa;4;4969;1;1923
Carissa-Christina;Carissa-Christina;1;10439;-;-
Carissima;Carissima;1;10439;-;-
Carissma;Charisma;1;10439;-;-
Carla;Carla;799;218;52;128
Carla-Antonia;Carla-Antonia;2;7246;-;-
Carla-Brianna;Carla-Brianna;1;10439;-;-
Carla-Elenea;Carla-Elenea;1;10439;-;-
Carla-Elisabeth;Carla-Elisabeth;1;10439;-;-
Carla-Elvira;Carla-Elvira;1;10439;-;-
Carla-Evelyn;Carla-Evelyn;1;10439;-;-
Carla-Lou;Carla-Lou;1;10439;-;-
Carla-Louise;Carla-Louise;1;10439;-;-
Carla-Luisa;Carla-Luisa;1;10439;-;-
Carla-Luise;Carla-Luise;1;10439;-;-
Carla-Lydia;Carla-Lydia;1;10439;-;-
Carla-Maria;Carla-Maria;4;4969;2;1339
Carla-Marie;Carla-Marie;4;4969;-;-
Carla-Philomena;Carla-Philomena;1;10439;-;-
Carla-Sofia;Carla-Sofia;1;10439;-;-
Carla-Sophia;Carla-Sophia;1;10439;-;-
Carla-Sophie;Carla-Sophie;3;5829;-;-
Carleen;Carleen;1;10439;-;-
Carli-Anne;Carli-Anne;1;10439;-;-
Carlina;Carlina;4;4969;-;-
Carline;Caroline;1;10439;-;-
Carlota;Charlotte;5;4385;1;1923
Carlotta;Charlotte;112;720;16;330
Carlotta-Clementine;Carlotta-Clementine;1;10439;-;-
Carlotta-Sofia;Carlotta-Sofia;1;10439;-;-
Carly;Carly;1;10439;-;-
Carma;Carma;1;10439;-;-
Carmel;Carmel;1;10439;-;-
Carmela;Carmen;15;2352;1;1923
Carmela-Jane;Carmela-Jane;1;10439;-;-
Carmelia;Carmelia;2;7246;1;1923
Carmelina;Carmelina;3;5829;1;1923
Carmeline;Carmeline;1;10439;-;-
Carmella;Carmen;2;7246;-;-
Carmen;Carmen;3040;106;21;273
Carmen-Aine;Carmen-Aine;1;10439;-;-
Carmen-Alexandra;Carmen-Alexandra;1;10439;-;-
Carmen-Alisa;Carmen-Alisa;1;10439;-;-
Carmen-Andreea;Carmen-Andreea;1;10439;-;-
Carmen-Anna;Carmen-Anna;1;10439;-;-
Carmen-Bianca;Carmen-Bianca;1;10439;-;-
Carmencita;Carmencita;1;10439;-;-
Carmen-Denyse;Carmen-Denyse;1;10439;-;-
Carmen-Doris;Carmen-Doris;1;10439;-;-
Carmen-Elena;Carmen-Elena;1;10439;-;-
Carmen-Elisabeth;Carmen-Elisabeth;1;10439;-;-
Carmen-Emilia;Carmen-Emilia;1;10439;-;-
Carmen-Jameni;Carmen-Jameni;1;10439;-;-
Carmen-Jasmin;Carmen-Jasmin;1;10439;-;-
Carmen-Katharina;Carmen-Katharina;1;10439;-;-
